title,author_type,content,rating,pros,cons
Fun place to work with fitness facilities and massage,"Localization Quality Control Team Leader (Former Employee) - Ubisoft Bucarest - December 16, 2013","One of my favorites work experiences so far. I had the chance of being part of a new department, the first quality control localization department of Ubisoft world wide. I have learned a lot about project managing, team managing, international collaboration, inter-departmental collaboration and I even received the right of selecting the new comers, checking their CV and conducting the interviews. As a localization tester I was continuously improving my vocabulary in different fields, for instance when I have worked for the game ''Hawks'', I had to be up to speed with all the military terminology, then when I worked for ''From Dust'' I was I had to learn new geological or climatological term, and so on. A very important part of the job, a part the proofreading, subtitles and voice synchronization, in-game text check, was the attention that I had to pay to the content it self. Cultural and historical adaptation and accuracy were things that I was extreme passionate in guarding. I developed a kin sens of spotting every that was political incorrect or age rating contradicting. I loved working with big teams and I developed a really good relation with the others departments, fact that speed up the working process.( for instance, when my team was in need for technical assistance I use to get it right away, unlike others teams and after the tsunami/earthquake accident in Japan we had problems with all Sony components and consoles, but I always managed to borrow the material in need from other departments so we could have the work done in time) The hardest part was the period - more...",4,"nice people, fitness facilities and massage, lunch place.",sometimes working on weekend
Friendly coworkers and no risk of layoffs,"Part of the production (Current Employee) - Toronto, ON - December 7, 2013","There are two big advantages to working at Ubisoft. First, they hire more friendly people than the other studios I worked at in the past. Second, they haven't done any layoffs. Their plan is actually to keep expanding. The downside of working here is the salary. It's 15-30% below what you can get elsewhere. Ubisoft has been lucky in the last 4 years, feeling no pressure to raise salaries. This is because Toronto doesn't have much of a game development industry. There is a single other studio around the city, which is Rockstar. So, no competition for talent. The other downside is that you likely will feel like a pawn at some point here. This is to be expected, as most teams are above 200 people. If you think that's a lot, in Montreal, some teams peek at 900 people. There has to be some advantages to working at small companies right? Another reason you may feel like a pawn is that even if the Toronto studio had good intentions for its people, many of us got shuffled and moved to new roles and projects due to another studio's needs. So, you may be excited about your current project and giving it all you got, and suddenly, a directive from Montreal demands that you help them with a struggling project. This should not come as a surprise as the industry is highly risky and a large company must do what is best for itself as a whole. Also note that this could only be temporary. Back to talking about the positives, this is a place where you will never feel like you risk of being let go due to company finances. The proof is that the company hasn't been profitable lately (public - more...",4,No layoffs in the history of Ubisoft Toronto,The pay is 15-30% below what many other studios offer
Productive,"Game Tester (Current Employee) - Pune, MH - October 27, 2013","I learned Game testing , the different aspects in a game to focus onto to find bugs. How to test different areas.What different types of testing can be performed on the same project.",4,"",""
"Good atmosphere, long hours usually required.","QC (Former Employee) - Newcastle upon Tyne - October 17, 2013","Good atmosphere, long hours usually required. Some people were working 40 hrs straight during busy periods.",4,"",""
Fun with Learning,"Possition -Game Tester (Former Employee) - Pune - October 15, 2013","Working with Ubisoft was a very good experience since gaming has always been my hobby as wells as my interest. The culture in Ubisoft is great the people are very helping and understanding. Lot of things i have learned while working with Ubisoft such as handling pressure, team work, thinking out of box, but most of all the importance of planning in work life.",4,Free breakfast and affordable food,Growth prespective
A good Place to Work at,"QA Tester (Current Employee) - PUNE - September 20, 2013",A best place for the gamers to work and is the best company which I worked.,4,"",""
Productive and fun place to work with friendly Environment,"Trainee Moderator (Former Employee) - Pune, MH - August 1, 2013",Had a great experience though i was there for less time i enjoyed my work there .,4,"",""
"This is game industry, what do you think is it like?","2d Artist (Current Employee) - Abu Dhabi, AZ - July 31, 2013","It makes me feel I have a long way to go learning too many things about the craft. Game Industry is a large exciting field, same fun as working in animation field. working there gave me a new horizon to explore, my colleagues are so nice and helpful. I love everything about games, and I love to work on big projects no matter how hard it is.",5,"",""
"Very fast paced and productive company with a dynamic and fun working environment, constantly changing and adapting to a rapidly growing industry.","Software Tester (Former Employee) - Bucuresti, IF - July 30, 2013","A very demanding but quite fun working environment with very passionate people working closely together to create amazing experiences for everyone to enjoy. Huge volumes of work and tight deadlines usually mean plenty of overtime which also means a considerable salary increase, but at a disadvantage for personal life. Overall, Ubisoft is a very good place to work in if you are a passionate individual which greatly enjoys create amazing content for the whole world to enjoy.",4,"passionate people sharing common interests, gym membership, employee cafeteria, team building activities","long hours, heavy workloads"
Great work environment...bad management and communicative skills,"Modeler, Texture Artist (Former Employee) - Toronto, ON - July 29, 2013","The work environment was amazing. Every amenity an employee could ask for. Training was available at all times. People were friendly and helpful. Management has no clue what they're doing. All art directors do not know how to communicate making it impossible to complete tasks to their own personal vision. Perception is a huge factor there. If you arrive early 8:00am (two hours before most management arrives), and leave 2 hours before management leaves 4:30pm , you're perceived as not putting in 100% effort. But if you sleep in and arrive at 10 am and leave at 6:30 PM then you are perceived as putting in your all. It's very broken. Same amount of time...just a small shift later. Overall, you're not treated as a person...but as a number.",4,"Work space, facilities","Management, Art Direction"
For Gamers only.,"Game Programmer (Former Employee) - Pune, MH - July 20, 2013",The company is for the most fun to have at Work. You can work on all the latest gaming consoles.,2,"",""
Great place to work,"Réalisateur-monteur (Former Employee) - Montréal, QC - June 27, 2013",It's unique work environment. Very relax and fun. I loved it.,4,Working in video game industry is a pros itself,A lack of organization sometime.
Talented people and great products,"Senior Brand Manager / Product Manager (Former Employee) - London, ENG - June 6, 2013","Directed the launch of Ubisoft titles into the UK market. Typical day at work: Brand positioning, product launches, community building.",4,Great people and products,None
Gaming Place,"Junior Web Programmer (Current Employee) - Pune - April 22, 2013",Good place to have balanced life and work . Lot of oppturnity for right people. International work environment and culture.,4,"",""
Pretty cool experience,"Environment Artist (Former Employee) - Sofia - March 19, 2013",A really professional company with very ambitous projects.They give me the opportunity to work on one of the most popular IP on the market and i gained a lot of experience from it.Yeah the work is tought but it's worth it.,4,free cake at the end of the month,bulgarian salary
"I woke up at crazy hours for this job, however it was incredibly enjoyable.","Beta Tester (Former Employee) - Home Based - February 17, 2013","I woke up at around 5AM to work in Canadian timezone, it was by home so they would email me an update code, or tell us to update the beta when they had it updated, this part was very efficient, however the people chosen the manage the all together were quite dis-organised, dealing with them was quite difficult as sometimes they didn't even show up for our hours, and we'd have to organise ourselves on Skype. The job was home based so we'd converse through Skype, the rest was very fun and enjoyable, my co-workers very nice and were really good to talk to, the most enjoyable part however was definitely the gameplay part and the actual taking part in the job itself.",3,play games before the release date,"crazy hours, small pay"
Great,"3D Programmer (Current Employee) - Montréal, QC - February 3, 2013","Great people, great projects. Projects are awesome, there are very talented people, big motivations.",5,"talents, projects",it a very big compny
Relaxed but productive work atmosphere,"Compensation and International Mobility Assistant (Former Employee) - Paris - January 28, 2013",I had alot of responsability which helped me become more responsable and learn how HR teams and big internationaly companies work.Co workers were very helpful and willing to give advice.,4,"",""
Contractors highly expendable--be careful.,"Notetracker (Former Employee) - San Francisco - December 19, 2012","I was hired on a temporary contract that started with two months training on proprietary software and lots of subjectivity in how the work was to be completed (gotta respect the NDA's, so I can't offer up details). Worked very hard, loved the gig, even though the software was buggy enough to cause work loss regularly and supervisors gave us contradictory information as to how the work should be completed. Of the four of us hired (through multiple interviews, BTW) two of us were let go six weeks later for the vague ""We have an idea of what level you should have been at by this point."" I was immediately told to clean out my desk and escorted to the street as if I were caught stealing. Serious problems in organization and management on this particular team.",2,"one free lunch, well stocked cafeteria, nice guys on my immediate team.",being fired for not being trained properly while still in the training period!
amazing company,"independent contractor (Current Employee) - San Francisco, CA - December 15, 2012","I enjoy providing desktop support to over 350+ employees. This company is very challenging and rewarding in many ways. I have learned so much in a short amount of time. The most difficult part of my job is keeping up with all the changes in technology so that's why education is important. In a typical day I might set up a press event, new hire orientation and assist end users with numerous issues. My co-workers are great to work with as a team. I can say that I look forward to going to work everyday.",5,free softdrinks,""
A long and healthy relationship,"Artiste multimédia et réalisateur (Former Employee) - montreal - November 1, 2012","When put in context of the capitalistic society in which we live and by taking into account all of the pros and cons that go with it, Ubisoft is one of those great machines of production. It drives the local economy and would have those who dedicate their lives for the enterprise to share the wealth.Apart from the often stressful deadlines and long hours, the company and most of its people come together and create a unique atmosphere of friendship.",4,"good pay, great benefits, amazing parties",noisy
fun work place,"Canada Director (Former Employee) - montreal QC - October 22, 2012",very busy place to work. Many moving pieces in any given day.,4,"",""
Unix/Linux expert,"Senior Network and UNIX Systems admin (Current Employee) - shanghai - September 11, 2012","- With Seven years working in the field of UNIX、LINUX and ORACLE. I used to be the IT Manager & Senior UNIX Consultant.- Technical management expertise on UNIX management, project management and quality assurance. I have rich experiences on UNIX、LINUX system management, like system performance analysis and tuning, troubleshoot system errors and alerts etc.- To be a strategic thinker and planner, I’m a passionate person and good at building team systematically developing people.- Ability to work effectively in a fast-faced and ever-changing work environment.",5,"",""
Productive & fun workplace,"Test Engineer (Current Employee) - Kumar Cerebrum, Kalyani Nagar - August 2, 2012",I learnt about testing and prioritizing my tasks.It is a fun place to work and i enjoy my time here.You are made to feel welcome and its a good place to work for Career Growth,4,"",""
Innovative company with a great culture,"Business Analyst (Current Employee) - San Francisco, CA - July 3, 2012","Ubisoft is a great company to work for. As with any company, there are some cons, but the pros heavily outweigh the bad. The work-life balance could not be better, as the culture there is one that endorses a commitment to bettering your personal life. They offer free drinks on all floors, and have weight loss competitions and other company wide games with prizes that encourage camaraderie. They often give away free games and always have Christmas gifts for the employees, as well as throw many company parties throughout the year. Communication within the company could be better, as different groups are sometimes on different pages regarding big decisions. Overall, Ubisoft's positives make it a company anybody would be lucky to work at.",5,"free drinks, plenty of company events, in office games, diverse benefits, great culture","salary may not be as competitive, not great communication between teams"
